IP地址,数据中心,地区,城市,网络延迟
104.16.42.60,SJC,北美洲,圣何塞,151 ms
104.17.210.116,SJC,北美洲,圣何塞,152 ms
104.16.41.163,SJC,北美洲,圣何塞,152 ms
104.18.87.145,SJC,北美洲,圣何塞,152 ms
104.17.172.142,SJC,北美洲,圣何塞,152 ms
104.17.41.88,SJC,北美洲,圣何塞,152 ms
104.17.249.97,SJC,北美洲,圣何塞,152 ms
104.17.151.113,SJC,北美洲,圣何塞,153 ms
104.16.51.245,SJC,北美洲,圣何塞,153 ms
104.18.184.105,SJC,北美洲,圣何塞,153 ms
104.17.40.210,SJC,北美洲,圣何塞,153 ms
104.19.176.134,SJC,北美洲,圣何塞,153 ms
104.26.5.36,HKG,亚太地区,香港,153 ms
104.17.181.237,SJC,北美洲,圣何塞,153 ms
104.16.32.83,SJC,北美洲,圣何塞,153 ms
104.17.233.188,SJC,北美洲,圣何塞,153 ms
104.16.36.163,SJC,北美洲,圣何塞,153 ms
104.16.110.248,SJC,北美洲,圣何塞,153 ms
172.67.69.120,HKG,亚太地区,香港,153 ms
104.16.155.143,SJC,北美洲,圣何塞,154 ms
104.17.122.105,SJC,北美洲,圣何塞,154 ms
104.17.47.84,SJC,北美洲,圣何塞,154 ms
104.16.35.244,SJC,北美洲,圣何塞,154 ms
172.67.70.115,HKG,亚太地区,香港,154 ms
104.17.68.117,SJC,北美洲,圣何塞,154 ms
104.17.197.204,SJC,北美洲,圣何塞,154 ms
104.16.204.217,SJC,北美洲,圣何塞,154 ms
104.18.128.190,SJC,北美洲,圣何塞,154 ms
104.26.11.167,HKG,亚太地区,香港,154 ms
104.17.9.48,SJC,北美洲,圣何塞,154 ms
172.67.64.43,HKG,亚太地区,香港,154 ms
104.18.132.168,SJC,北美洲,圣何塞,154 ms
104.17.36.32,SJC,北美洲,圣何塞,154 ms
104.16.147.192,SJC,北美洲,圣何塞,154 ms
104.16.107.229,SJC,北美洲,圣何塞,154 ms
104.17.154.82,SJC,北美洲,圣何塞,154 ms
162.159.138.212,HKG,亚太地区,香港,154 ms
104.19.229.77,SJC,北美洲,圣何塞,155 ms
104.26.1.67,HKG,亚太地区,香港,155 ms
162.159.137.75,HKG,亚太地区,香港,155 ms
104.16.104.214,SJC,北美洲,圣何塞,155 ms
104.21.224.189,SJC,北美洲,圣何塞,155 ms
104.20.18.135,HKG,亚太地区,香港,155 ms
104.21.236.100,SJC,北美洲,圣何塞,155 ms
104.19.151.19,SJC,北美洲,圣何塞,155 ms
104.17.158.183,SJC,北美洲,圣何塞,155 ms
104.21.227.67,SJC,北美洲,圣何塞,156 ms
104.16.43.102,SJC,北美洲,圣何塞,156 ms
162.159.128.30,HKG,亚太地区,香港,156 ms
104.16.23.11,SJC,北美洲,圣何塞,156 ms
104.16.9.43,SJC,北美洲,圣何塞,156 ms
104.18.165.127,SJC,北美洲,圣何塞,156 ms
104.18.230.142,SJC,北美洲,圣何塞,156 ms
104.19.145.178,SJC,北美洲,圣何塞,156 ms
104.18.127.237,SJC,北美洲,圣何塞,156 ms
104.17.11.82,SJC,北美洲,圣何塞,156 ms
104.16.127.25,SJC,北美洲,圣何塞,156 ms
104.17.183.111,SJC,北美洲,圣何塞,156 ms
104.17.59.228,SJC,北美洲,圣何塞,156 ms
104.17.153.32,SJC,北美洲,圣何塞,156 ms
104.19.215.120,SJC,北美洲,圣何塞,156 ms
104.16.234.42,SJC,北美洲,圣何塞,157 ms
104.17.124.77,SJC,北美洲,圣何塞,157 ms
104.18.100.201,SJC,北美洲,圣何塞,157 ms
162.159.134.181,HKG,亚太地区,香港,157 ms
104.18.216.9,SJC,北美洲,圣何塞,157 ms
162.159.143.231,HKG,亚太地区,香港,157 ms
1.0.0.12,SJC,北美洲,圣何塞,157 ms
104.17.150.76,SJC,北美洲,圣何塞,157 ms
104.26.6.209,HKG,亚太地区,香港,157 ms
104.17.215.200,SJC,北美洲,圣何塞,157 ms
104.17.133.164,SJC,北美洲,圣何塞,157 ms
104.17.255.117,SJC,北美洲,圣何塞,157 ms
104.18.68.195,SJC,北美洲,圣何塞,157 ms
104.20.17.123,HKG,亚太地区,香港,157 ms
172.65.230.90,MRS,欧洲,马赛,157 ms
104.26.3.155,HKG,亚太地区,香港,157 ms
104.16.171.217,SJC,北美洲,圣何塞,157 ms
104.17.7.34,SJC,北美洲,圣何塞,157 ms
104.17.38.35,SJC,北美洲,圣何塞,157 ms
104.19.174.93,SJC,北美洲,圣何塞,158 ms
104.17.174.22,SJC,北美洲,圣何塞,158 ms
104.16.124.205,SJC,北美洲,圣何塞,158 ms
104.17.51.80,SJC,北美洲,圣何塞,158 ms
104.16.99.200,SJC,北美洲,圣何塞,158 ms
104.20.22.254,HKG,亚太地区,香港,158 ms
104.16.80.63,SJC,北美洲,圣何塞,158 ms
104.17.231.8,SJC,北美洲,圣何塞,158 ms
104.17.216.31,SJC,北美洲,圣何塞,158 ms
104.19.240.211,SJC,北美洲,圣何塞,158 ms
104.17.225.252,SJC,北美洲,圣何塞,158 ms
104.16.0.209,SJC,北美洲,圣何塞,158 ms
104.16.207.179,SJC,北美洲,圣何塞,158 ms
162.159.140.37,HKG,亚太地区,香港,158 ms
104.19.222.84,SJC,北美洲,圣何塞,158 ms
104.16.53.89,SJC,北美洲,圣何塞,158 ms
104.16.52.36,SJC,北美洲,圣何塞,158 ms
104.17.1.211,SJC,北美洲,圣何塞,158 ms
104.17.251.174,SJC,北美洲,圣何塞,158 ms
162.159.142.180,HKG,亚太地区,香港,158 ms
104.26.0.210,HKG,亚太地区,香港,158 ms
104.18.238.223,SJC,北美洲,圣何塞,158 ms
104.17.203.96,SJC,北美洲,圣何塞,158 ms
104.17.204.97,SJC,北美洲,圣何塞,158 ms
104.17.137.90,SJC,北美洲,圣何塞,158 ms
104.18.245.81,SJC,北美洲,圣何塞,158 ms
104.16.178.193,SJC,北美洲,圣何塞,158 ms
104.17.166.89,SJC,北美洲,圣何塞,159 ms
104.17.167.8,SJC,北美洲,圣何塞,159 ms
104.19.187.54,SJC,北美洲,圣何塞,159 ms
104.20.30.221,HKG,亚太地区,香港,159 ms
104.17.148.121,SJC,北美洲,圣何塞,159 ms
162.159.152.130,HKG,亚太地区,香港,159 ms
104.17.18.73,SJC,北美洲,圣何塞,159 ms
104.17.103.172,SJC,北美洲,圣何塞,159 ms
104.17.170.19,SJC,北美洲,圣何塞,159 ms
104.16.191.174,SJC,北美洲,圣何塞,159 ms
104.19.165.153,SJC,北美洲,圣何塞,159 ms
104.17.92.31,SJC,北美洲,圣何塞,159 ms
104.17.211.52,SJC,北美洲,圣何塞,159 ms
104.17.239.135,SJC,北美洲,圣何塞,159 ms
104.17.43.84,SJC,北美洲,圣何塞,159 ms
104.16.242.232,SJC,北美洲,圣何塞,160 ms
104.19.184.170,SJC,北美洲,圣何塞,160 ms
104.18.169.32,SJC,北美洲,圣何塞,160 ms
104.20.20.202,HKG,亚太地区,香港,160 ms
162.159.135.105,HKG,亚太地区,香港,160 ms
104.26.14.76,HKG,亚太地区,香港,160 ms
104.16.119.182,SJC,北美洲,圣何塞,160 ms
104.16.117.106,SJC,北美洲,圣何塞,160 ms
104.18.90.12,SJC,北美洲,圣何塞,160 ms
104.26.15.162,HKG,亚太地区,香港,160 ms
104.19.246.45,SJC,北美洲,圣何塞,160 ms
172.67.66.45,HKG,亚太地区,香港,160 ms
104.16.57.20,SJC,北美洲,圣何塞,160 ms
198.41.219.33,SJC,北美洲,圣何塞,160 ms
104.17.223.127,SJC,北美洲,圣何塞,160 ms
104.18.241.49,SJC,北美洲,圣何塞,160 ms
104.16.254.45,SJC,北美洲,圣何塞,160 ms
104.26.12.167,HKG,亚太地区,香港,160 ms
104.17.106.38,SJC,北美洲,圣何塞,161 ms
104.17.63.190,SJC,北美洲,圣何塞,161 ms
104.18.248.97,SJC,北美洲,圣何塞,161 ms
104.16.216.98,SJC,北美洲,圣何塞,161 ms
104.16.37.48,SJC,北美洲,圣何塞,161 ms
172.67.68.177,HKG,亚太地区,香港,161 ms
104.17.141.93,SJC,北美洲,圣何塞,161 ms
104.18.161.29,SJC,北美洲,圣何塞,161 ms
104.17.218.27,SJC,北美洲,圣何塞,161 ms
104.18.180.144,SJC,北美洲,圣何塞,161 ms
104.17.83.118,SJC,北美洲,圣何塞,161 ms
172.67.79.145,HKG,亚太地区,香港,161 ms
104.17.187.150,SJC,北美洲,圣何塞,161 ms
104.19.250.52,SJC,北美洲,圣何塞,161 ms
104.16.175.158,SJC,北美洲,圣何塞,161 ms
104.20.29.100,HKG,亚太地区,香港,161 ms
104.18.176.80,SJC,北美洲,圣何塞,161 ms
104.16.227.14,SJC,北美洲,圣何塞,162 ms
104.19.237.43,SJC,北美洲,圣何塞,162 ms
104.17.139.18,SJC,北美洲,圣何塞,162 ms
104.16.142.200,SJC,北美洲,圣何塞,162 ms
104.17.53.43,SJC,北美洲,圣何塞,162 ms
104.18.131.153,SJC,北美洲,圣何塞,162 ms
104.16.34.102,SJC,北美洲,圣何塞,162 ms
104.16.192.5,SJC,北美洲,圣何塞,162 ms
104.17.201.14,SJC,北美洲,圣何塞,162 ms
104.16.125.11,SJC,北美洲,圣何塞,162 ms
104.16.96.201,SJC,北美洲,圣何塞,162 ms
104.16.97.241,SJC,北美洲,圣何塞,162 ms
104.26.10.30,HKG,亚太地区,香港,162 ms
172.67.78.78,HKG,亚太地区,香港,162 ms
104.17.177.6,SJC,北美洲,圣何塞,162 ms
104.16.18.251,SJC,北美洲,圣何塞,162 ms
104.16.156.68,SJC,北美洲,圣何塞,162 ms
104.17.25.169,SJC,北美洲,圣何塞,162 ms
104.18.86.57,SJC,北美洲,圣何塞,163 ms
104.18.163.234,SJC,北美洲,圣何塞,163 ms
1.0.0.5,SJC,北美洲,圣何塞,163 ms
104.16.255.85,SJC,北美洲,圣何塞,163 ms
104.16.144.4,SJC,北美洲,圣何塞,163 ms
172.67.75.205,HKG,亚太地区,香港,163 ms
104.19.218.69,SJC,北美洲,圣何塞,163 ms
104.16.91.52,SJC,北美洲,圣何塞,163 ms
104.20.21.224,HKG,亚太地区,香港,163 ms
104.17.195.174,SJC,北美洲,圣何塞,163 ms
104.16.20.209,SJC,北美洲,圣何塞,163 ms
104.16.238.219,SJC,北美洲,圣何塞,163 ms
104.18.183.187,SJC,北美洲,圣何塞,163 ms
104.16.161.75,SJC,北美洲,圣何塞,163 ms
104.19.182.174,SJC,北美洲,圣何塞,163 ms
104.16.78.214,SJC,北美洲,圣何塞,163 ms
104.16.166.38,SJC,北美洲,圣何塞,163 ms
172.67.71.137,HKG,亚太地区,香港,164 ms
104.17.30.99,SJC,北美洲,圣何塞,164 ms
104.20.31.145,HKG,亚太地区,香港,164 ms
104.16.14.113,SJC,北美洲,圣何塞,164 ms
104.18.121.113,SJC,北美洲,圣何塞,164 ms
104.18.224.244,SJC,北美洲,圣何塞,164 ms
104.16.3.193,SJC,北美洲,圣何塞,164 ms
104.18.156.219,SJC,北美洲,圣何塞,164 ms
104.18.155.255,SJC,北美洲,圣何塞,164 ms
104.17.240.231,SJC,北美洲,圣何塞,164 ms
104.16.6.240,SJC,北美洲,圣何塞,164 ms
104.17.67.15,SJC,北美洲,圣何塞,164 ms
104.17.37.229,SJC,北美洲,圣何塞,164 ms
104.17.86.248,SJC,北美洲,圣何塞,164 ms
104.26.13.243,HKG,亚太地区,香港,164 ms
104.19.190.89,SJC,北美洲,圣何塞,164 ms
104.16.170.87,SJC,北美洲,圣何塞,164 ms
104.16.172.186,SJC,北美洲,圣何塞,164 ms
104.19.164.3,SJC,北美洲,圣何塞,164 ms
104.19.226.216,SJC,北美洲,圣何塞,164 ms
162.159.130.208,HKG,亚太地区,香港,164 ms
104.17.31.237,SJC,北美洲,圣何塞,164 ms
104.16.63.6,SJC,北美洲,圣何塞,164 ms
104.19.214.141,SJC,北美洲,圣何塞,165 ms
172.67.73.118,HKG,亚太地区,香港,165 ms
104.18.198.70,SJC,北美洲,圣何塞,165 ms
104.17.132.182,SJC,北美洲,圣何塞,165 ms
172.67.67.230,HKG,亚太地区,香港,165 ms
104.17.24.13,SJC,北美洲,圣何塞,165 ms
104.16.168.168,SJC,北美洲,圣何塞,165 ms
104.16.230.40,SJC,北美洲,圣何塞,165 ms
104.18.204.151,SJC,北美洲,圣何塞,165 ms
104.17.97.186,SJC,北美洲,圣何塞,165 ms
1.0.0.5,SJC,北美洲,圣何塞,165 ms
104.17.214.242,SJC,北美洲,圣何塞,165 ms
104.21.232.136,SJC,北美洲,圣何塞,165 ms
104.16.13.155,SJC,北美洲,圣何塞,165 ms
104.17.179.128,SJC,北美洲,圣何塞,165 ms
104.17.56.188,SJC,北美洲,圣何塞,166 ms
104.17.57.9,SJC,北美洲,圣何塞,166 ms
104.17.118.153,SJC,北美洲,圣何塞,166 ms
104.18.81.158,SJC,北美洲,圣何塞,166 ms
104.19.148.197,SJC,北美洲,圣何塞,166 ms
104.18.64.3,SJC,北美洲,圣何塞,166 ms
104.17.49.191,SJC,北美洲,圣何塞,166 ms
104.16.103.89,SJC,北美洲,圣何塞,166 ms
104.16.19.57,SJC,北美洲,圣何塞,166 ms
104.16.135.93,SJC,北美洲,圣何塞,166 ms
104.18.137.110,SJC,北美洲,圣何塞,166 ms
104.20.28.68,HKG,亚太地区,香港,166 ms
104.18.160.244,SJC,北美洲,圣何塞,166 ms
104.16.66.7,SJC,北美洲,圣何塞,166 ms
104.16.71.228,SJC,北美洲,圣何塞,166 ms
104.18.243.131,SJC,北美洲,圣何塞,166 ms
104.16.232.135,SJC,北美洲,圣何塞,166 ms
104.16.153.89,SJC,北美洲,圣何塞,166 ms
104.19.251.118,SJC,北美洲,圣何塞,166 ms
104.16.249.17,SJC,北美洲,圣何塞,166 ms
104.17.164.248,SJC,北美洲,圣何塞,167 ms
104.17.102.96,SJC,北美洲,圣何塞,167 ms
104.17.161.186,SJC,北美洲,圣何塞,167 ms
172.67.77.152,HKG,亚太地区,香港,167 ms
104.20.24.137,HKG,亚太地区,香港,167 ms
104.18.135.182,SJC,北美洲,圣何塞,167 ms
104.17.121.59,SJC,北美洲,圣何塞,167 ms
104.16.88.98,SJC,北美洲,圣何塞,167 ms
104.17.108.88,SJC,北美洲,圣何塞,167 ms
104.16.79.144,SJC,北美洲,圣何塞,167 ms
104.17.163.46,SJC,北美洲,圣何塞,167 ms
104.18.199.175,SJC,北美洲,圣何塞,167 ms
104.18.120.123,SJC,北美洲,圣何塞,167 ms
104.16.86.83,SJC,北美洲,圣何塞,167 ms
104.16.164.0,SJC,北美洲,圣何塞,167 ms
104.19.244.98,SJC,北美洲,圣何塞,168 ms
104.16.217.173,SJC,北美洲,圣何塞,168 ms
104.16.239.154,SJC,北美洲,圣何塞,168 ms
104.18.211.24,SJC,北美洲,圣何塞,168 ms
104.17.220.208,SJC,北美洲,圣何塞,168 ms
104.17.198.110,SJC,北美洲,圣何塞,168 ms
104.18.201.16,SJC,北美洲,圣何塞,168 ms
104.16.128.37,SJC,北美洲,圣何塞,168 ms
104.17.123.53,SJC,北美洲,圣何塞,168 ms
104.16.179.91,SJC,北美洲,圣何塞,168 ms
104.19.216.234,SJC,北美洲,圣何塞,168 ms
104.17.253.144,SJC,北美洲,圣何塞,168 ms
104.18.66.151,SJC,北美洲,圣何塞,168 ms
103.11.212.147,SJC,北美洲,圣何塞,168 ms
104.18.190.43,SJC,北美洲,圣何塞,168 ms
104.19.189.57,SJC,北美洲,圣何塞,169 ms
104.16.219.138,SJC,北美洲,圣何塞,169 ms
104.18.200.52,SJC,北美洲,圣何塞,169 ms
104.18.232.102,SJC,北美洲,圣何塞,169 ms
104.16.46.200,SJC,北美洲,圣何塞,169 ms
104.18.134.86,SJC,北美洲,圣何塞,169 ms
104.18.130.23,SJC,北美洲,圣何塞,169 ms
104.16.222.107,SJC,北美洲,圣何塞,169 ms
104.16.193.52,SJC,北美洲,圣何塞,169 ms
104.16.246.235,SJC,北美洲,圣何塞,169 ms
104.18.209.234,SJC,北美洲,圣何塞,169 ms
104.17.191.175,SJC,北美洲,圣何塞,169 ms
104.17.128.43,SJC,北美洲,圣何塞,169 ms
104.20.27.0,HKG,亚太地区,香港,169 ms
104.16.228.33,SJC,北美洲,圣何塞,169 ms
104.18.150.13,SJC,北美洲,圣何塞,169 ms
104.17.193.96,SJC,北美洲,圣何塞,170 ms
104.17.115.120,SJC,北美洲,圣何塞,170 ms
104.16.45.21,SJC,北美洲,圣何塞,170 ms
104.18.125.144,SJC,北美洲,圣何塞,170 ms
104.17.190.214,SJC,北美洲,圣何塞,170 ms
104.18.223.249,SJC,北美洲,圣何塞,170 ms
104.17.196.179,SJC,北美洲,圣何塞,170 ms
172.67.74.129,HKG,亚太地区,香港,170 ms
104.18.104.90,SJC,北美洲,圣何塞,170 ms
104.18.69.153,SJC,北美洲,圣何塞,170 ms
104.18.84.126,SJC,北美洲,圣何塞,170 ms
104.17.107.110,SJC,北美洲,圣何塞,170 ms
104.16.176.152,SJC,北美洲,圣何塞,170 ms
104.16.24.99,SJC,北美洲,圣何塞,170 ms
104.17.101.165,SJC,北美洲,圣何塞,170 ms
104.18.82.142,SJC,北美洲,圣何塞,170 ms
104.18.214.130,SJC,北美洲,圣何塞,170 ms
104.20.26.19,HKG,亚太地区,香港,170 ms
104.16.173.222,SJC,北美洲,圣何塞,170 ms
104.17.242.220,SJC,北美洲,圣何塞,170 ms
104.21.229.57,SJC,北美洲,圣何塞,170 ms
104.17.73.152,SJC,北美洲,圣何塞,170 ms
104.19.236.86,SJC,北美洲,圣何塞,171 ms
104.16.89.96,SJC,北美洲,圣何塞,171 ms
104.16.146.17,SJC,北美洲,圣何塞,171 ms
104.16.95.74,SJC,北美洲,圣何塞,171 ms
104.16.29.20,SJC,北美洲,圣何塞,171 ms
104.16.64.38,SJC,北美洲,圣何塞,171 ms
104.18.102.40,SJC,北美洲,圣何塞,171 ms
104.18.207.58,SJC,北美洲,圣何塞,171 ms
104.16.225.56,SJC,北美洲,圣何塞,171 ms
104.16.130.93,SJC,北美洲,圣何塞,171 ms
104.16.62.114,SJC,北美洲,圣何塞,171 ms
104.18.225.13,SJC,北美洲,圣何塞,171 ms
104.18.78.240,SJC,北美洲,圣何塞,171 ms
104.18.72.121,SJC,北美洲,圣何塞,171 ms
104.16.111.232,SJC,北美洲,圣何塞,171 ms
104.16.112.100,SJC,北美洲,圣何塞,171 ms
172.67.76.132,HKG,亚太地区,香港,171 ms
104.17.146.72,SJC,北美洲,圣何塞,171 ms
104.19.234.207,SJC,北美洲,圣何塞,171 ms
104.16.109.1,SJC,北美洲,圣何塞,172 ms
104.16.159.55,SJC,北美洲,圣何塞,172 ms
104.16.94.207,SJC,北美洲,圣何塞,172 ms
104.17.135.86,SJC,北美洲,圣何塞,172 ms
104.16.58.238,SJC,北美洲,圣何塞,172 ms
104.16.55.104,SJC,北美洲,圣何塞,172 ms
104.17.144.21,SJC,北美洲,圣何塞,172 ms
104.19.220.91,SJC,北美洲,圣何塞,172 ms
104.17.209.9,SJC,北美洲,圣何塞,172 ms
104.17.152.120,SJC,北美洲,圣何塞,172 ms
104.18.172.114,SJC,北美洲,圣何塞,172 ms
104.18.97.171,SJC,北美洲,圣何塞,172 ms
104.18.233.116,SJC,北美洲,圣何塞,172 ms
104.17.91.202,SJC,北美洲,圣何塞,172 ms
104.17.100.109,SJC,北美洲,圣何塞,172 ms
104.16.187.188,SJC,北美洲,圣何塞,172 ms
104.16.248.139,SJC,北美洲,圣何塞,172 ms
104.17.10.99,SJC,北美洲,圣何塞,173 ms
104.17.131.237,SJC,北美洲,圣何塞,173 ms
104.16.137.157,SJC,北美洲,圣何塞,173 ms
104.17.44.97,SJC,北美洲,圣何塞,173 ms
104.18.206.15,SJC,北美洲,圣何塞,173 ms
104.17.248.37,SJC,北美洲,圣何塞,173 ms
104.18.154.46,SJC,北美洲,圣何塞,173 ms
104.16.122.207,SJC,北美洲,圣何塞,173 ms
104.17.206.212,SJC,北美洲,圣何塞,173 ms
104.18.116.189,SJC,北美洲,圣何塞,173 ms
104.18.213.226,SJC,北美洲,圣何塞,173 ms
104.17.29.215,SJC,北美洲,圣何塞,173 ms
104.18.202.144,SJC,北美洲,圣何塞,173 ms
104.16.115.8,SJC,北美洲,圣何塞,173 ms
104.18.96.190,SJC,北美洲,圣何塞,173 ms
104.16.83.83,SJC,北美洲,圣何塞,173 ms
104.17.238.193,SJC,北美洲,圣何塞,173 ms
104.20.16.37,HKG,亚太地区,香港,173 ms
104.16.203.81,SJC,北美洲,圣何塞,173 ms
104.18.108.101,SJC,北美洲,圣何塞,173 ms
104.18.146.69,SJC,北美洲,圣何塞,173 ms
104.18.145.52,SJC,北美洲,圣何塞,173 ms
104.17.232.138,SJC,北美洲,圣何塞,174 ms
104.20.25.100,HKG,亚太地区,香港,174 ms
104.17.112.169,SJC,北美洲,圣何塞,174 ms
104.17.168.244,SJC,北美洲,圣何塞,174 ms
104.17.114.246,SJC,北美洲,圣何塞,174 ms
104.19.159.104,SJC,北美洲,圣何塞,174 ms
104.19.178.148,SJC,北美洲,圣何塞,174 ms
104.16.17.250,SJC,北美洲,圣何塞,174 ms
104.16.113.167,SJC,北美洲,圣何塞,174 ms
104.17.110.153,SJC,北美洲,圣何塞,174 ms
104.18.236.133,SJC,北美洲,圣何塞,174 ms
104.19.249.184,SJC,北美洲,圣何塞,174 ms
104.17.64.94,SJC,北美洲,圣何塞,174 ms
104.18.255.31,SJC,北美洲,圣何塞,175 ms
104.17.3.106,SJC,北美洲,圣何塞,175 ms
104.16.151.165,SJC,北美洲,圣何塞,175 ms
104.20.23.48,HKG,亚太地区,香港,175 ms
104.16.195.154,SJC,北美洲,圣何塞,175 ms
104.18.122.79,SJC,北美洲,圣何塞,175 ms
104.19.213.104,SJC,北美洲,圣何塞,175 ms
104.16.183.227,SJC,北美洲,圣何塞,175 ms
104.16.30.56,SJC,北美洲,圣何塞,175 ms
104.18.249.88,SJC,北美洲,圣何塞,175 ms
104.18.239.108,SJC,北美洲,圣何塞,175 ms
104.19.156.25,SJC,北美洲,圣何塞,175 ms
104.17.235.244,SJC,北美洲,圣何塞,175 ms
104.18.123.76,SJC,北美洲,圣何塞,175 ms
104.18.229.187,SJC,北美洲,圣何塞,175 ms
104.17.246.53,SJC,北美洲,圣何塞,175 ms
104.17.138.56,SJC,北美洲,圣何塞,175 ms
104.16.162.31,SJC,北美洲,圣何塞,176 ms
104.19.228.189,SJC,北美洲,圣何塞,176 ms
104.18.170.23,SJC,北美洲,圣何塞,176 ms
104.19.167.96,SJC,北美洲,圣何塞,176 ms
104.18.67.237,SJC,北美洲,圣何塞,176 ms
104.18.76.185,SJC,北美洲,圣何塞,176 ms
104.16.165.24,SJC,北美洲,圣何塞,176 ms
104.18.227.62,SJC,北美洲,圣何塞,176 ms
104.18.208.86,SJC,北美洲,圣何塞,176 ms
104.18.250.75,SJC,北美洲,圣何塞,176 ms
104.17.70.82,SJC,北美洲,圣何塞,176 ms
104.16.226.220,SJC,北美洲,圣何塞,176 ms
1.0.0.7,SJC,北美洲,圣何塞,176 ms
104.16.68.161,SJC,北美洲,圣何塞,176 ms
104.16.194.9,SJC,北美洲,圣何塞,176 ms
104.18.181.76,SJC,北美洲,圣何塞,176 ms
104.16.229.190,SJC,北美洲,圣何塞,176 ms
104.18.152.107,SJC,北美洲,圣何塞,176 ms
104.18.153.110,SJC,北美洲,圣何塞,176 ms
104.16.190.66,SJC,北美洲,圣何塞,176 ms
104.17.247.159,SJC,北美洲,圣何塞,176 ms
104.16.10.17,SJC,北美洲,圣何塞,176 ms
104.16.5.82,SJC,北美洲,圣何塞,176 ms
104.18.242.189,SJC,北美洲,圣何塞,176 ms
104.17.60.88,SJC,北美洲,圣何塞,176 ms
104.16.1.158,SJC,北美洲,圣何塞,176 ms
104.16.84.61,SJC,北美洲,圣何塞,177 ms
104.19.230.57,SJC,北美洲,圣何塞,177 ms
104.18.105.226,SJC,北美洲,圣何塞,177 ms
104.19.155.250,SJC,北美洲,圣何塞,177 ms
104.19.179.73,SJC,北美洲,圣何塞,177 ms
104.16.152.109,SJC,北美洲,圣何塞,177 ms
104.16.40.28,SJC,北美洲,圣何塞,177 ms
104.17.224.32,SJC,北美洲,圣何塞,177 ms
104.19.211.26,SJC,北美洲,圣何塞,177 ms
104.17.33.35,SJC,北美洲,圣何塞,178 ms
104.16.182.162,SJC,北美洲,圣何塞,178 ms
104.17.185.171,SJC,北美洲,圣何塞,178 ms
190.93.245.79,SJC,北美洲,圣何塞,178 ms
104.16.148.109,SJC,北美洲,圣何塞,178 ms
104.17.159.145,SJC,北美洲,圣何塞,178 ms
104.19.243.153,SJC,北美洲,圣何塞,178 ms
104.16.198.199,SJC,北美洲,圣何塞,178 ms
104.16.15.159,SJC,北美洲,圣何塞,178 ms
104.16.108.166,SJC,北美洲,圣何塞,178 ms
104.17.0.28,SJC,北美洲,圣何塞,178 ms
104.16.177.65,SJC,北美洲,圣何塞,178 ms
104.18.159.229,SJC,北美洲,圣何塞,178 ms
104.17.178.167,SJC,北美洲,圣何塞,178 ms
104.16.240.175,SJC,北美洲,圣何塞,178 ms
104.16.145.179,SJC,北美洲,圣何塞,178 ms
104.19.150.166,SJC,北美洲,圣何塞,179 ms
104.16.237.199,SJC,北美洲,圣何塞,179 ms
104.18.70.61,SJC,北美洲,圣何塞,179 ms
104.16.163.13,SJC,北美洲,圣何塞,179 ms
104.17.252.83,SJC,北美洲,圣何塞,179 ms
104.18.103.66,SJC,北美洲,圣何塞,179 ms
104.17.54.227,SJC,北美洲,圣何塞,179 ms
104.16.59.211,SJC,北美洲,圣何塞,179 ms
